柤徧,柤徧偐側昞婰,廧強昞婰,梄曋斣崋,堒搙,宱搙,揹榖斣崋,俥俙倃斣崋,俤儊乕儖傾僪儗僗,倂倕倐僒僀僩,庬暿,旔擄応強丒旔擄強巜掕庬暿,峖悈,奟曵傟丄搚愇棳媦傃抧妸傝,崅挭,抧恔,捗攇,戝婯柾側壩帠,撪悈斆棓,壩嶳尰徾,懳徾抧嬫,廂梕壜擻恖悢,旔擄帪楢棈愭,旔擄帪楢棈愭揹榖斣崋,旔擄帪楢棈愭乮栭娫丒媥擔乯,旔擄帪楢棈愭乮栭娫丒媥擔乯揹榖斣崋,旛峫
幮夛暉巸朄恖塸夛丂偡傒傟偦偆,僔儍僇僀僼僋僔儂僂僕儞僴僫僽僒僇僀丂僗儈儗僜僂,暉壀導杒嬨廈巗栧巌嬫晽巘巐挌栚12-31,,33.929565,130.945319,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,18,栧巌嬫栶強,093-331-0001,栧巌徚杊彁,093-372-0119,
彫怷峕彫妛峑,僐儌儕僄僔儑僂僈僢僐僂,暉壀導杒嬨廈巗栧巌嬫擇僞徏挿2-1,,33.928481,130.945508,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,152,栧巌嬫栶強,093-331-0001,栧巌徚杊彁,093-372-0119,
媽埳愳彫妛峑,僉儏僂僀僇儚僔儑僂僈僢僐僂,暉壀導杒嬨廈巗栧巌嬫戝帤埳愳1058-3,,33.910081,130.978093,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,135,栧巌嬫栶強,093-331-0001,栧巌徚杊彁,093-372-0119,
尨媑巙廤夛強,僴儔僉僔僔儏僂僇僀僔儑,暉壀導杒嬨廈巗栧巌嬫媑巙嶰挌栚10-22,,33.865171,130.967733,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,0,1,1,1,,,17,栧巌嬫栶強,093-331-0001,栧巌徚杊彁,093-372-0119,
椢扟椢抧,儈僪儕僞僯儕儑僋僠,暉壀導杒嬨廈巗栧巌嬫堫愊堦挌栚駫殩󵤧,,33.887531,130.927979,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
惵梩戜岞墍,傾僆僶僟僀僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫惵梩12,,33.884171,130.920837,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
戝棦岞墍,僟僀儕僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫晄榁挰堦挌栚1,,33.897388,130.93779,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
戝怷岞墍,僆僆儌儕僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫戝棦搶堦挌栚3,,33.91396,130.940231,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
攱儢媢岞墍,僴僊僈僆僇僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫戝棦屗蓮銕O挌栚8,,33.904854,130.943451,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
榁徏岞墍,僆僀儅僣僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫搶栧巌堦挌栚12V徏挰3,,33.947433,130.969742,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,0,0,1,1,0,,,,,,,,
榓晍姞岞墍,儊僇儕僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫媽栧巌擇挌栚鍘殩鍘i,,33.958607,130.967087,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,0,0,0,1,0,,,,,,,,
揷栰塝椪奀岞墍,僞僲僂儔儕儞僇僀僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫揷栰塝堦挌栚2V奐13,,33.95723,130.989807,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,0,1,1,1,1,,,,,,,,
怴栧巌奀昹岞墍,僔儞儌僕僇僀僸儞僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫戝帤墡嬺,,33.897362,130.986099,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,0,0,1,1,0,,,,,,,,
徏儢峕傆傟偁偄岞墍,儅僣僈僄僼儗傾僀僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫戝帤敤,,33.871986,130.976456,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,0,1,1,1,1,,,,,,,,
怴栧巌岞墍,僔儞儌僕僐僂僄儞,暉壀導杒嬨廈巗栧巌嬫怴栧巌擇挌栚,,33.863014,130.988129,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,0,1,1,1,1,,,,,,,,
愒嶈彫妛峑,傾僇僒僉僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫惣彫愇挰8-1,,33.920349,130.790344,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,205,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
愒嶈巗柉僙儞僞乕,傾僇僒僉僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫惣彫愇挰8-2,,33.919952,130.79187,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,82,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
岦梞拞妛峑,僐僂儓僂僠儏僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫彫愇杮懞挰21-1,,33.918892,130.779984,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,190,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
彫愇彫妛峑,僐僀僔僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫媨慜挰3-1,,33.915867,130.789169,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,154,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
彫愇岞柉娰,僐僀僔僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫壓尨挰7-11,,33.915661,130.790115,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,0,0,1,1,,,82,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
奜彫抾岞柉娰,僜僩僆僟働僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫戝帤彫抾967,,33.915485,130.754669,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,0,1,0,,,14,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏崅摍妛峑,儚僇儅僣僐僂僩僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫忋尨挰15-13,,33.912682,130.792252,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,394,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
怺挰彫妛峑,僼僇儅僠僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫惣敤挰13-1,,33.910641,130.793121,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,200,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
怺挰巗柉僙儞僞乕,僼僇儅僠僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫怺挰堦挌栚2-12,,33.91198,130.799011,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,77,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏拞墰彫妛峑,儚僇儅僣僠儏僂僆僂僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫敀嶳擇挌栚1-1,,33.905014,130.804626,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,205,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏拞墰巗柉僙儞僞乕,儚僇儅僣僠儏僂僆僂僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫昹挰堦挌栚1-2,,33.905376,130.81163,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,75,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏拞妛峑,儚僇儅僣僠儏僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫敀嶳擇挌栚12-45,,33.907253,130.801788,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,302,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
偔偒偺偆傒彫妛峑,僋僉僲僂儈僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫屆慜擇挌栚19-36,,33.90099,130.801956,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,154,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
廋懡梾巗柉僙儞僞乕,僗僞儔僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫敀嶳堦挌栚9-13,,33.902145,130.805496,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,87,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏懱堢娰,儚僇儅僣僞僀僀僋僇儞,暉壀導杒嬨廈巗庒徏嬫屆慜堦挌栚1-1,,33.893513,130.80014,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,1,1,1,1,,,453,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
屆慜巗柉僙儞僞乕,僼儖儅僄僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫屆慜堦挌栚28-23,,33.8927,130.794556,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,1,1,1,1,,,83,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
傂傃偒墍,僸價僉僄儞,暉壀導杒嬨廈巗庒徏嬫屆慜擇挌栚26-1,,33.896431,130.794846,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,22,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
摗栘彫妛峑,僼僕僲僉僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫崱岝堦挌栚18-1,,33.893902,130.774063,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,114,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
愇曱拞妛峑,僀僔儈僱僠儏僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫崱岝堦挌栚12-8,,33.894051,130.77626,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,171,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
摗僲栘巗柉僙儞僞乕,僼僕僲僉僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫愒搰挰20-13,,33.894779,130.782883,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,80,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
儃乕僩儗乕僗庒徏,儃乕僩儗乕僗儚僇儅僣,暉壀導杒嬨廈巗庒徏嬫愒娾挰13-1,,33.887157,130.764725,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,0,1,1,1,0,,,716,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
搶擇搰岞柉娰,僸僈僔僼僞僕儅僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫搶擇搰嶰挌栚8-20,,33.888714,130.755981,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,0,1,0,,,49,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
擇搰巗柉僙儞僞乕,僼僞僕儅僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫搶擇搰擇挌栚7-3,,33.88768,130.758072,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,78,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
擇搰彫妛峑,僼僞僕儅僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫搶擇搰屲挌栚13-1,,33.893723,130.748383,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,171,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
壴朳彫妛峑,僴僫僼僒僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫戝帤彫抾2227,,33.908276,130.741501,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,102,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
摯杒拞妛峑,僪僂儂僋僠儏僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫戝帤抾暲3087-1,,33.903606,130.722778,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,171,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
尯奀惵擭偺壠,僎儞僇僀僙僀僱儞僲僀僄,暉壀導杒嬨廈巗庒徏嬫戝帤抾暲126-2,,33.917114,130.730453,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,182,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
峕愳彫妛峑,僄僈儚僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫戝帤壋娵5,,33.906818,130.697952,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,142,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
鍓廧岞柉娰,傾儅僗儈僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫戝帤鍓廧1307,,33.906029,130.709976,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,0,0,1,1,,,26,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
傂傃偒偺彫妛峑,僸價僉僲僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫傂傃偒偺杒8-26,,33.8928742,130.711442,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,299,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
傂傃偒偺巗柉僙儞僞乕,僸價僉僲僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫傂傃偒偺杒8-28,,33.8932197,130.710969,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,78,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
杒嬨廈妛弍尋媶搒巗,僉僞僉儏僂僔儏僂僈僋僕儏僣働儞僉儏僂僩僔,暉壀導杒嬨廈巗庒徏嬫傂傃偒偺2-1,,33.889851,130.711975,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,421,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
姏惗揷彫妛峑,僇儌僆僟僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫姏惗揷巐挌栚13-1,,33.898193,130.737289,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,240,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
擇搰拞妛峑,僼僞僕儅僠儏僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫擇搰巐挌栚5-1,,33.896591,130.746689,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,291,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
搰嫿巗柉僙儞僞乕,僔儅僑僂僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫姏惗揷擇挌栚1-1,,33.893494,130.736572,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,108,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
崅恵彫妛峑,僞僇僗僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫崅恵搶巐挌栚14-1,,33.890362,130.694656,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,182,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
崅恵巗柉僙儞僞乕,僞僇僗僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫崅恵杒堦挌栚1-2,,33.893105,130.693314,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,99,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
惵梩彫妛峑,傾僆僶僔儑僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫惵梩戜惣嶰挌栚1-1,,33.89904,130.687897,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,200,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
崅恵拞妛峑,僞僇僗僠儏僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫崅恵杒堦挌栚1-1,,33.893456,130.692963,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,318,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
惵梩巗柉僙儞僞乕,傾僆僶僔儈儞僙儞僞乕,暉壀導杒嬨廈巗庒徏嬫惵梩戜惣堦挌栚14-1,,33.90456,130.687393,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,73,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
傂傃偒撳嫏嫤榚揷嫏懞僙儞僞乕乮榚揷帺帯岞柉娰乯,僸價僉僫僟僊儑僉儑僂儚僀僞僊儑僜儞僙儞僞乕丂儚僀僞僕僠僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫戝帤埨壆1742,,33.932552,130.727646,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,0,0,1,1,,,32,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏嬫戞俀俀嬫岞柉娰,儚僇儅僣僋僟僀俀俀僋僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫戝抮挰10-4,,33.894257,130.791489,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,0,0,1,1,,,18,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
埨壆岞柉娰,傾儞儎僐僂儈儞僇儞,暉壀導杒嬨廈巗庒徏嬫戝帤埨壆2224-2,,33.929612,130.723207,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,1,1,1,1,,,27,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
屆慜曐堢強,僼儖儅僄儂僀僋僔儑,暉壀導杒嬨廈巗庒徏嬫屆慜堦挌栚28-17,,33.892748,130.794419,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,101,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
庒徏彜嬈崅摍妛峑,儚僇儅僣僔儑僂僊儑僂僐僂僩僂僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫曅嶳嶰挌栚2-1,,33.899542,130.746247,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,0,0,1,0,1,1,0,,,404,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
彫抮摿暿巟墖妛峑,僐僀働僩僋儀僣僔僄儞僈僢僐僂,暉壀導杒嬨廈巗庒徏嬫戝帤彫晘俆俉俁亅侾,,33.885115,130.705022,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,185,庒徏嬫栶強,093-761-5321,庒徏徚杊彁,093-752-0119,
傂傃偒僐僗儌僗岞墍,僸價僉僐僗儌僗僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫岦梞挰,,33.921192,130.785034,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,0,0,1,1,0,,,,,,,,
怴戝扟挰搶岞墍,僔儞僆僆僞僯儅僠僸僈僔僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫怴戝扟挰2,,33.905853,130.79541,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
枽僲嶳岞墍,僴僫僲儎儅僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫屆慜堦挌栚26,,33.892712,130.796585,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
崱岝惣岞墍,僀儅儈僣僯僔僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫崱岝擇挌栚15�16,,33.894943,130.771729,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
擇搰椢摴,僼僞僕儅儕儑僋僪僂,暉壀導杒嬨廈巗庒徏嬫撿擇搰擇挌栚1丒4丒20,,33.889341,130.748366,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,0,1,1,1,1,,,,,,,,
嬁撳椢抧,僸價僉僫僟儕儑僋僠,暉壀導杒嬨廈巗庒徏嬫戝帤埨壆趽c|暲瑨|,,33.913067,130.727615,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
壴栰楬拞墰岞墍,僴僫僲僕僠儏僂僆僂僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫壴栰楬嶰挌栚18,,33.906677,130.676208,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
傂傃偒偺撿岞墍,僸價僉僲儈僫儈僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫彫晘傂傃偒偺嶰挌栚1,,33.88866,130.705597,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
擇搰惣岞墍,僼僞僕儅僯僔僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫姏惗揷擇挌栚9,,33.895542,130.734695,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
崅恵岞墍,僞僇僗僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫崅恵搶嶰挌栚12,,33.889359,130.694763,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
惵梩戜拞墰岞墍,傾僆僶僟僀僠儏僂僆僂僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫惵梩戜惣堦挌栚14,,33.90414,130.686676,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,1,1,1,1,1,1,1,,,,,,,,
崅搩嶳岞墍,僞僇僩僂儎儅僐僂僄儞,暉壀導杒嬨廈巗庒徏嬫戝帤廋懡梾,,33.903324,130.798721,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強,0,0,1,0,1,1,0,,,,,,,,
屗敤拞墰彫妛峑,僩僶僞僠儏僂僆僂僔儑僂僈僢僐僂,暉壀導杒嬨廈巗屗敤嬫怴抮擇挌栚1-12,,33.898239,130.829422,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,210,屗敤嬫栶強,093-871-1501,屗敤徚杊彁,093-861-0119,
惣屗敤巗柉僙儞僞乕,僯僔僩僶僞僔儈儞僙儞僞乕,暉壀導杒嬨廈巗屗敤嬫撿捁婙挰3-17,,33.899837,130.821579,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,1,1,1,1,,,53,屗敤嬫栶強,093-871-1501,屗敤徚杊彁,093-861-0119,
搶屗敤巗柉僙儞僞乕,僸僈僔僩僶僞僔儈儞僙儞僞乕,暉壀導杒嬨廈巗屗敤嬫愮杊嶰挌栚1-12,,33.8988,130.830566,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,60,屗敤嬫栶強,093-871-1501,屗敤徚杊彁,093-861-0119,
愺惗巗柉僙儞僞乕,傾僜僂僔儈儞僙儞僞乕,暉壀導杒嬨廈巗屗敤嬫愺惗擇挌栚13-7,,33.894779,130.824539,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,1,1,1,1,,,75,屗敤嬫栶強,093-871-1501,屗敤徚杊彁,093-861-0119,
杒嬨廈巗棫崅摍妛峑,僉僞僉儏僂僔儏僂僔儕僣僐僂僩僂僈僢僐僂,暉壀導杒嬨廈巗屗敤嬫愺惗堦挌栚10-1,,33.890663,130.827499,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,0,1,1,1,1,,,476,屗敤嬫栶強,093-871-1501,屗敤徚杊彁,093-861-0119,
愺惗僗億乕僣僙儞僞乕,傾僜僂僗億乕僣僙儞僞乕,暉壀導杒嬨廈巗屗敤嬫愺惗擇挌栚1乚1,,33.892757,130.828445,,,,,旔擄応強丒旔擄強,巜掕嬞媫旔擄応強寭巜掕旔擄強,1,1,1,1,1,1,1,,,428,屗敤嬫栶強,093-871-1501,屗敤徚杊彁,093-861-0119,
