"緊急避難場所","避難所の利用","施設名称","住所","電話番号","土砂災害","洪水","津波","備考","経度","緯度","分類"
"○","○","淡河小学校","神戸市北区淡河町萩原524","078-959-0113","○","○","－","","135.1021525","34.8163308335645","屋内の緊急避難場所"
"○","○","室内小学校","神戸市長田区前原町1-17-1","078-691-0917","○","○","○","","135.1543644","34.6734728333731","屋内の緊急避難場所"
"○","○","長田公民館","神戸市長田区四番町4-51","078-575-1374","○","○","○","","135.1545541","34.6697571333681","屋内の緊急避難場所"
"○","○","夢野台高校","神戸市長田区房王寺町2-1-1","078-691-1546","○","○","○","","135.1534672","34.677083333378","屋内の緊急避難場所"
"○","○","名倉小学校","神戸市長田区房王寺町4-7-15","078-691-6181","△","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（丸山中学校）へ避難。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可。","135.1479261","34.6799497333819","屋内の緊急避難場所"
"○","○","丸山中学校","神戸市長田区大丸町2-17-1","078-691-0005","○","○","○","","135.1487342","34.6780025333792","屋内の緊急避難場所"
"○","○","雲雀丘中学校","神戸市長田区雲雀ヶ丘1-1-1","078-631-8748","○","○","○","","135.1343131","34.6915231333974","屋内の緊急避難場所"
"○","○","丸山ひばり小学校","神戸市長田区西丸山町3-2-1","078-691-8552","○","○","○","","135.1375906","34.6864350333906","屋内の緊急避難場所"
"○","○","総合療育センター","神戸市長田区丸山町2-3-50","078-646-5291","○","○","○","","135.1400806","34.6833695333864","屋内の緊急避難場所"
"○","○","丸山コミュニティ・センター","神戸市長田区西丸山町1-7-5","078-643-3447","○","○","○","","135.1409072","34.68599103339","屋内の緊急避難場所"
"○","○","宮川小学校","神戸市長田区長田町4-1-1","078-631-2721","○","○","○","","135.1472888","34.6722262333715","屋内の緊急避難場所"
"○","○","池田小学校","神戸市長田区池田上町19","078-691-1661","△","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（宮川小学校、長田高校、蓮池小学校）へ避難。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可。","135.1449296","34.6678811333656","屋内の緊急避難場所"
"○","○","西代中学校","神戸市長田区上池田2-4-1","078-691-1521","×","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（宮川小学校、長田高校、蓮池小学校）へ避難","135.1396686","34.668181433366","屋内の緊急避難場所"
"○","○","長田高校","神戸市長田区池田谷町2-5","078-621-4101","○","○","○","","135.1435322","34.6702422333688","屋内の緊急避難場所"
"○","○","蓮池小学校","神戸市長田区大谷町1-1-10","078-691-4215","○","○","○","","135.1432128","34.6624350333583","屋内の緊急避難場所"
"○","○","神戸常盤大学","神戸市長田区大谷町2-6-2","078-611-1821","△","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（蓮池小学校）へ避難。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可。","135.1411825","34.6654958333624","屋内の緊急避難場所"
"○","○","長田小学校","神戸市長田区西山町2-4-1","078-631-2731","○","○","○","","135.1428822","34.6725142333718","屋内の緊急避難場所"
"○","○","高取台中学校","神戸市長田区高取山町1-1-1","078-611-6325","△","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（長田小学校、五位の池小学校）へ避難すること。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可。","135.1372353","34.6713811333703","屋内の緊急避難場所"
"○","○","育英高校","神戸市長田区長尾町2-1-15","078-611-6001","×","○","○","《土砂災害時》土砂災害警戒区域外の緊急避難場所（長田小学校、五位の池小学校）へ避難","135.1348078","34.6684842333664","屋内の緊急避難場所"
"○","○","五位の池小学校","神戸市長田区五位ノ池町2-3-1","078-631-2741","○","○","○","","135.1363515","34.6660659333632","屋内の緊急避難場所"
"○","○","御蔵小学校","神戸市長田区一番町4-1","078-575-2226","○","○","○","","135.1550418","34.6663688333636","屋内の緊急避難場所"
"○","○","真野小学校","神戸市長田区苅藻通3-4-32","078-671-0190","○","△","○","《洪水時》避難経路の通行に注意が必要","135.1540769","34.657031333351","屋内の緊急避難場所"
"○","○","長田中学校","神戸市長田区真野町8-1","078-671-3757","○","○","○","","135.1531092","34.6614128333569","屋内の緊急避難場所"
"○","○","長田南小学校","神戸市長田区神楽町1-3-1","078-691-1702","○","○","○","","135.1498543","34.6618374333575","屋内の緊急避難場所"
"○","○","駒ヶ林中学校","神戸市長田区若松町7-1-23","078-611-0082","○","○","○","","135.1434603","34.6551358333484","屋内の緊急避難場所"
"○","○","真陽小学校","神戸市長田区二葉町1-5-5","078-611-0456","○","△","○","《洪水時》避難経路の通行に注意が必要","135.1512872","34.6555025333489","屋内の緊急避難場所"
"○","○","ふたば学舎","神戸市長田区二葉町7-1-18","078-646-8128","○","○","○","","135.146261","34.6517707333439","屋内の緊急避難場所"
"○","○","駒ケ林小学校","神戸市長田区野田町6-1-16","078-731-7061","○","○","○","","135.1414645","34.6500314333416","屋内の緊急避難場所"
"○","○","若宮小学校","神戸市須磨区若宮町2-1-21","078-731-0007","○","×","○","《洪水時》別の避難場所へ避難","135.1314996","34.6463436333366","屋内の緊急避難場所"
"○","○","鷹取中学校","神戸市須磨区青葉町3-1-1","078-731-0066","○","×","○","《洪水時》別の避難場所へ避難","135.1326031","34.6479475333388","屋内の緊急避難場所"
"○","○","南須磨公民館","神戸市須磨区青葉町2-2-3","078-735-2770","○","×","○","《洪水時》別の避難場所へ避難","135.1333241","34.6488167333399","屋内の緊急避難場所"
"○","○","西須磨小学校","神戸市須磨区行幸町3-4-18","078-731-0295","○","○","○","","135.1204206","34.646658633337","屋内の緊急避難場所"
"○","○","須磨一の谷プラザ","神戸市須磨区一ノ谷町5-2-1","078-731-8353","△","○","○","《土砂災害時》土砂災害警戒区域外（西須磨小学校）へ避難、ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可","135.1060922","34.6411794333296","屋内の緊急避難場所"
"○","○","北須磨小学校","神戸市須磨区離宮西町2-1-1","078-731-8149","○","○","○","","135.1152711","34.6526467333451","屋内の緊急避難場所"
"○","○","だいち小学校","神戸市須磨区大池町5-15-1","078-739-1502","○","○","○","","135.1342833","34.6542553333473","屋内の緊急避難場所"
"○","○","太田中学校","神戸市須磨区大黒町5-1-1","078-732-0854","○","○","○","","135.1329026","34.6576629333518","屋内の緊急避難場所"
"○","○","東須磨小学校","神戸市須磨区堀池町1‐2-1","078-731-0448","○","○","○","","135.1276478","34.654805033348","屋内の緊急避難場所"
"○","○","須磨体育館","神戸市須磨区中島町1-2-2","078-734-5588","○","○","○","","135.1289669","34.6507528333426","屋内の緊急避難場所"
"○","○","飛松中学校","神戸市須磨区大手町8-4-25","078-731-9494","○","○","○","","135.1257339","34.6582739333527","屋内の緊急避難場所"
"○","○","高倉台小学校","神戸市須磨区高倉台4-1-1","078-734-1766","○","○","○","","135.1041192","34.65626283335","屋内の緊急避難場所"
"○","○","高倉中学校","神戸市須磨区高倉台1-8-1","078-733-1140","○","○","○","","135.1074356","34.6536575333465","屋内の緊急避難場所"
"○","○","板宿小学校","神戸市須磨区菊池町1-1-1","078-732-4055","○","○","○","","135.1331303","34.6630653333591","屋内の緊急避難場所"
"○","○","多井畑小学校","神戸市須磨区友が丘3-106","078-792-0450","△","○","○","《土砂災害時》西門が土砂災害警戒区域内にあるので注意、正門を利用","135.0943419","34.668877833367","屋内の緊急避難場所"
"○","○","友が丘中学校","神戸市須磨区友が丘7-283-1","078-792-5567","○","○","○","","135.0994969","34.6731275333727","屋内の緊急避難場所"
"○","○","多井畑自治会館","神戸市須磨区多井畑字東所22","078-741-5020","○","○","○","","135.0931745","34.6608772333562","屋内の緊急避難場所"
"○","○","横尾小学校","神戸市須磨区横尾5-3","078-743-4511","○","○","○","","135.1115681","34.6704253333691","屋内の緊急避難場所"
"○","○","横尾中学校","神戸市須磨区横尾2-1-2","078-743-7322","△","○","○","《土砂災害時》通用門が土砂災害警戒区域内にあるので注意、正門を利用","135.1157451","34.6728241333723","屋内の緊急避難場所"
"○","○","妙法寺小学校","神戸市須磨区妙法寺字桜界地106-1","078-741-2559","△","○","○","《土砂災害時》西門が土砂災害警戒区域内にあるので注意、南校舎側の門を利用","135.1172147","34.6760865333767","屋内の緊急避難場所"
"○","○","神戸星城高校","神戸市須磨区緑ヶ丘1-12-1","078-741-1860","○","○","○","","135.1162619","34.6820128333846","屋内の緊急避難場所"
"○","○","南落合小学校","神戸市須磨区南落合3-11-1","078-792-5244","○","○","○","","135.1014661","34.6763078333769","屋内の緊急避難場所"
"○","○","竜が台小学校","神戸市須磨区竜が台6-15-1","078-793-1833","○","○","○","","135.0911614","34.6745411333746","屋内の緊急避難場所"
"○","○","竜が台中学校","神戸市須磨区竜が台4-1","078-791-0762","○","○","○","","135.0882228","34.675590833376","屋内の緊急避難場所"
"○","○","菅の台小学校","神戸市須磨区菅の台4-3-2","078-791-0233","△","○","○","《土砂災害時》西門が土砂災害警戒区域付近にあるので注意、正門を利用","135.0836983","34.6721939333714","屋内の緊急避難場所"
"○","○","花谷小学校","神戸市須磨区東落合1-4-1","078-791-8272","○","○","○","","135.1012968","34.680073233382","屋内の緊急避難場所"
"○","○","東落合中学校","神戸市須磨区東落合2-15-1","078-792-5558","○","○","○","","135.0994494","34.6823986333852","屋内の緊急避難場所"
"○","○","西落合小学校","神戸市須磨区西落合7-1-3","078-792-5556","○","○","○","","135.0892339","34.6819375333845","屋内の緊急避難場所"
"○","○","北須磨文化センター","神戸市須磨区中落合3-1-2","078-791-0840","○","○","○","","135.0954409","34.6839355333872","屋内の緊急避難場所"
"○","○","西落合中学校","神戸市須磨区西落合4-1-1","078-791-8444","○","○","○","","135.0824564","34.6851425333888","屋内の緊急避難場所"
"○","○","須磨翔風高校","神戸市須磨区西落合1-1-5","078-798-4155","○","○","○","","135.0887922","34.6779933333792","屋内の緊急避難場所"
"○","○","若草小学校","神戸市須磨区若草町1-13","078-743-7311","○","○","○","","135.1148719","34.6876362333922","屋内の緊急避難場所"
"○","○","須磨北中学校","神戸市須磨区東白川台5-1-1","078-741-6465","○","○","○","","135.1102097","34.6920283333981","屋内の緊急避難場所"
"○","○","東落合小学校","神戸市須磨区東落合2-18-1","078-793-1844","○","○","○","","135.1009689","34.6852289333889","屋内の緊急避難場所"
"○","○","松尾小学校","神戸市須磨区北落合2-13-1","078-791-8422","△","○","○","《土砂災害時》正門が土砂災害警戒区域内にあるので注意、東門を利用","135.0917225","34.6866175333908","屋内の緊急避難場所"
"○","○","神の谷小学校","神戸市須磨区神の谷5-1-1","078-791-8277","○","○","○","","135.0854611","34.6885015333934","屋内の緊急避難場所"
"○","○","白川小学校","神戸市須磨区白川台7-3-2","078-792-2619","○","○","○","","135.1006022","34.6960794334036","屋内の緊急避難場所"
"○","○","白川台中学校","神戸市須磨区白川台1-25-2","078-792-5711","○","○","○","","135.0964414","34.6927503333991","屋内の緊急避難場所"
"○","○","塩屋小学校","神戸市垂水区塩屋町3-18-1","078-751-4400","○","○","○","","135.0813161","34.6379922333253","屋内の緊急避難場所"
"○","○","塩屋中学校","神戸市垂水区塩屋町字大谷","078-753-2271","○","○","○","","135.0771217","34.6439331333333","屋内の緊急避難場所"
"○","","兵庫県自治研修所","神戸市垂水区塩屋町5-3-1","078-752-1321","○","○","○","","135.077551","34.6331110333187","屋内の緊急避難場所"
"○","○","塩屋北小学校","神戸市垂水区塩屋北町4-10-1","078-752-7575","○","○","○","","135.0906539","34.6470275333375","屋内の緊急避難場所"
"○","○","塩屋台自治会館","神戸市垂水区塩屋台1-21","-","○","○","○","","135.0835281","34.6418375333305","屋内の緊急避難場所"
"○","○","下畑台小学校","神戸市垂水区桃山台3-20","078-752-6780","○","○","○","","135.0830569","34.6560514333497","屋内の緊急避難場所"
"○","○","桃山台中学校","神戸市垂水区桃山台4-8","078-752-1201","○","○","○","","135.0797656","34.6579178333522","屋内の緊急避難場所"
"○","○","下畑公会堂","神戸市垂水区下畑町字谷川2120","-","○","○","○","","135.086614","34.6527060333452","屋内の緊急避難場所"
"○","○","つつじが丘小学校","神戸市垂水区つつじが丘3-1385-79","078-709-7751","○","○","○","","135.0786778","34.6574376333515","屋内の緊急避難場所"
"○","○","福田小学校","神戸市垂水区乙木3-3-1","078-753-3515","○","○","○","","135.0665735","34.6411637333296","屋内の緊急避難場所"
"○","○","東垂水小学校","神戸市垂水区王居殿2-5-25","078-751-2623","○","○","○","","135.0711864","34.6348258333211","屋内の緊急避難場所"
"○","","視覚特別支援学校","神戸市垂水区城が山4-2-1","078-751-3291","○","○","○","","135.0692837","34.6331960333189","屋内の緊急避難場所"
"○","○","乙木小学校","神戸市垂水区美山台2-1-1","078-752-4205","○","○","○","","135.0709614","34.6403306333285","屋内の緊急避難場所"
"○","○","垂水東中学校","神戸市垂水区青山台3-4-1","078-751-6139","○","○","○","","135.0721917","34.6409722333294","屋内の緊急避難場所"
"○","○","東垂水公民館","神戸市垂水区東垂水1-1-1","078-753-5025","○","○","○","","135.0684339","34.6368394333238","屋内の緊急避難場所"
"○","○","名谷小学校","神戸市垂水区名谷町1896","078-707-2481","○","○","○","","135.0709858","34.6633169333595","屋内の緊急避難場所"
"○","○","福田中学校","神戸市垂水区名谷町字猿倉254","078-708-1670","△","○","○","《土砂災害時》武道場・体育館は使用できません","135.0605674","34.6515827333437","屋内の緊急避難場所"
"○","","神戸聴覚特別支援学校","神戸市垂水区福田1-3-1","078-709-9301","〇","〇","〇","","135.063445","34.6404390333286","屋内の緊急避難場所"
"○","○","高丸小学校","神戸市垂水区大町2-6-9","078-707-8877","○","○","○","","135.0613262","34.6381384333255","屋内の緊急避難場所"
"○","○","千鳥が丘小学校","神戸市垂水区千鳥が丘3-10-37","078-709-1655","○","○","○","","135.0581761","34.6433439333326","屋内の緊急避難場所"
"○","○","垂水小学校","神戸市垂水区日向2-4-6","078-707-6006","○","○","○","","135.0558767","34.6315758333167","屋内の緊急避難場所"
"○","○","垂水年金会館","神戸市垂水区平磯1-2-5","078-752-4181","○","○","○","","135.0590125","34.628079233312","屋内の緊急避難場所"
"○","○","垂水体育館","神戸市垂水区平磯1-1-56","078-751-0500","○","○","○","","135.0601363","34.6262785233096","屋内の緊急避難場所"
"○","○","霞ヶ丘小学校","神戸市垂水区霞ヶ丘4-6-16","078-706-0156","○","○","○","","135.0427583","34.6333700333191","屋内の緊急避難場所"
"○","○","歌敷山中学校","神戸市垂水区歌敷山2-4-1","078-707-8864","○","○","○","","135.0412611","34.6363944333232","屋内の緊急避難場所"
"○","○","東舞子小学校","神戸市垂水区舞子台4-10-1","078-782-2712","○","○","○","","135.0364975","34.6393497333272","屋内の緊急避難場所"
"○","○","舞子小学校","神戸市垂水区西舞子4-7-43","078-782-2332","○","○","○","","135.0303701","34.6437937333332","屋内の緊急避難場所"
"○","○","西舞子小学校","神戸市垂水区狩口台3-1-2","078-781-0004","○","○","○","","135.0307367","34.6497317333412","屋内の緊急避難場所"
"○","○","舞子中学校","神戸市垂水区狩口台3-1-1","078-781-0001","△","○","○","《土砂災害時》格技室・体育館は使用できないため、近隣の避難所へ避難してください。","135.0298064","34.6496650333411","屋内の緊急避難場所"
"○","○","神陵台小学校","神戸市垂水区神陵台3-1-1","078-781-3843","○","○","○","","135.0340639","34.6598917333549","屋内の緊急避難場所"
"○","○","神陵台中学校","神戸市垂水区神陵台3-1-2","078-781-0700","○","○","○","","135.0332281","34.6601417333552","屋内の緊急避難場所"
"○","○","多聞台小学校","神戸市垂水区多聞台3-9-29","078-782-0375","○","○","○","","135.040405","34.6621528333579","屋内の緊急避難場所"
"○","○","西脇小学校","神戸市垂水区西脇1-8-6","078-781-9531","○","○","○","","135.0387581","34.6560033333496","屋内の緊急避難場所"
"○","○","千代が丘小学校","神戸市垂水区上高丸1-4-2","078-708-8801","○","○","○","","135.0517939","34.6410918333295","屋内の緊急避難場所"
"○","○","垂水中学校","神戸市垂水区上高丸1-4-1","078-707-6363","○","○","○","","135.0516019","34.6408164333292","屋内の緊急避難場所"
"○","○","本多聞中学校","神戸市垂水区本多聞2-16-1","078-784-6310","○","○","○","","135.0460825","34.6565978333504","屋内の緊急避難場所"
"○","○","舞多聞小学校","神戸市垂水区舞多聞西5-11-12","078-787-3700","○","○","○","","135.049208","34.6668700333643","屋内の緊急避難場所"
"○","○","多聞の丘小学校","神戸市垂水区本多聞5-2-1","078-784-4477","○","○","○","","135.0466269","34.6528678333454","屋内の緊急避難場所"
"○","○","小束山小学校","神戸市垂水区小束山7-868-362","078-784-2656","○","○","○","","135.0612669","34.6664886333637","屋内の緊急避難場所"
"○","○","星陵台中学校","神戸市垂水区星陵台4-3-3","078-709-8810","○","○","○","","135.0478936","34.6465297333369","屋内の緊急避難場所"
"○","○","星陵高校","神戸市垂水区星陵台4-3-2","078-707-6565","○","○","○","","135.0495769","34.6449103333347","屋内の緊急避難場所"
"○","○","神戸商業高校","神戸市垂水区星陵台4-3-1","078-707-6464","○","○","○","","135.0477467","34.6438522333332","屋内の緊急避難場所"
"○","○","多聞東小学校","神戸市垂水区学が丘4-1-1","078-783-5868","○","○","○","","135.0552622","34.6586283333532","屋内の緊急避難場所"
"○","○","多聞東中学校","神戸市垂水区学が丘3-1-1","078-783-5888","△","○","○","《土砂災害時》体育館は使用できません","135.0542236","34.6546706333478","屋内の緊急避難場所"
"○","○","舞子高校","神戸市垂水区学が丘3-2","078-783-5151","○","○","○","","135.0551067","34.6559647333496","屋内の緊急避難場所"
"○","○","太山寺小学校","神戸市西区伊川谷町前開860","078-974-0007","○","○","－","","135.0553447","34.6962522334038","屋内の緊急避難場所"
"○","○","伊川谷小学校","神戸市西区北別府3-3-1","078-974-0006","○","△","－","《洪水時》南別府1～5丁目からの避難については、河川がはん濫したら、有瀬小学校へ避難","135.0123878","34.6719400333711","屋内の緊急避難場所"
"○","○","長坂小学校","神戸市西区伊川谷町長坂910-1","078-974-2333","○","○","－","","135.0375386","34.6690519333672","屋内の緊急避難場所"
"○","○","長坂中学校","神戸市西区伊川谷町長坂841-1","078-974-3830","○","○","－","","135.0374164","34.6707128333694","屋内の緊急避難場所"
"○","○","伊川谷高校","神戸市西区伊川谷町長坂910-5","078-974-5630","○","○","－","","135.0356914","34.6709433333697","屋内の緊急避難場所"
"○","○","有瀬小学校","神戸市西区伊川谷町有瀬1137-1","078-974-2709","○","○","－","","135.0186403","34.6641328333606","屋内の緊急避難場所"
"○","○","伊川谷中学校","神戸市西区伊川谷町上脇1005-2","078-974-0005","×","○","－","《土砂災害時》土砂災害警戒区域外（伊川谷小学校）へ避難","135.0193008","34.6779617333792","屋内の緊急避難場所"
"○","○","小寺小学校","神戸市西区学園西町5-5","078-791-2950","○","○","－","","135.0545452","34.683734733387","屋内の緊急避難場所"
"○","○","兵庫県立大学（神戸商科キャンパス）","神戸市西区学園西町8-2-1","078-794-5245","○","○","－","","135.0520776","34.6782465533796","屋内の緊急避難場所"
"○","○","東町小学校","神戸市西区学園東町5-5","078-794-4000","○","○","－","","135.0648386","34.6844064333879","屋内の緊急避難場所"
"○","○","太山寺中学校","神戸市西区学園東町2-2","078-791-7090","○","○","－","","135.0605806","34.6846672333882","屋内の緊急避難場所"
"○","○","神戸市外国語大学","神戸市西区学園東町9-1","078-794-8121","×","○","－","《土砂災害時》土砂災害警戒区域外（太山寺中学校）へ避難","135.0604031","34.6798088333817","屋内の緊急避難場所"
"○","○","工業高等専門学校","神戸市西区学園東町8-3","078-795-3311","×","○","－","《土砂災害時》土砂災害警戒区域外（東町小学校）へ避難","135.0675356","34.679323633381","屋内の緊急避難場所"
"○","○","井吹東小学校","神戸市西区井吹台東町5-32","078-997-0820","○","○","－","","135.0380156","34.7040231334142","屋内の緊急避難場所"
"○","○","井吹台中学校","神戸市西区井吹台西町2-3","078-997-0850","○","○","－","","135.0303164","34.6968239334046","屋内の緊急避難場所"
"○","○","井吹西小学校","神戸市西区井吹台西町4-3","078-997-0114","○","○","－","","135.0228586","34.6934683334001","屋内の緊急避難場所"
"○","○","井吹の丘小学校","神戸市西区井吹台北町2-18","078-990-5533","○","○","－","","135.030916","34.7055290334163","屋内の緊急避難場所"
"○","○","春日台小学校","神戸市西区春日台4-1","078-961-0251","○","○","－","","134.9957164","34.7088081334206","屋内の緊急避難場所"
"○","○","平野中学校","神戸市西区春日台2-20","078-961-0058","○","○","－","","134.9982078","34.7096692334218","屋内の緊急避難場所"
"○","○","西体育館","神戸市西区春日台5-436","078-961-1381","○","○","－","","134.9890086","34.7029142334127","屋内の緊急避難場所"
"○","○","美賀多台小学校","神戸市西区美賀多台6-1","078-991-7659","○","○","－","","135.0056153","34.7199569334356","屋内の緊急避難場所"
"○","○","平野小学校","神戸市西区平野町宮前301","078-961-0011","○","○","－","","134.9820253","34.7062146334172","屋内の緊急避難場所"
"○","○","櫨谷小学校","神戸市西区櫨谷町池谷203-2","078-991-0004","○","○","－","","135.0256053","34.7100417334223","屋内の緊急避難場所"
"○","○","糀台小学校","神戸市西区糀台3-32-1","078-991-1635","○","○","－","","135.0234694","34.7197461334353","屋内の緊急避難場所"
"○","○","櫨谷中学校","神戸市西区糀台1-2","078-991-0026","○","○","－","","135.0286272","34.7179436334329","屋内の緊急避難場所"
"○","○","狩場台小学校","神戸市西区狩場台3-6-1","078-991-3415","○","○","－","","135.0323936","34.7227904434394","屋内の緊急避難場所"
"○","○","竹の台小学校","神戸市西区竹の台2-10-2","078-991-4471","○","○","－","","135.0127814","34.7126633334258","屋内の緊急避難場所"
"○","○","西神中学校","神戸市西区竹の台5-21","078-992-2700","○","○","－","","135.0096733","34.7142075334279","屋内の緊急避難場所"
"○","○","樫野台小学校","神戸市西区樫野台3-3-1","078-992-2500","○","○","－","","135.0016297","34.7065139334176","屋内の緊急避難場所"
"○","○","木津小学校","神戸市西区桜が丘東町5-149-31","078-994-0003","○","○","－","","135.0654018","34.7432542334668","屋内の緊急避難場所"
"○","○","桜が丘小学校","神戸市西区桜が丘中町3-3-2","078-994-8010","○","○","－","","135.0583913","34.7451914334694","屋内の緊急避難場所"
"○","○","桜が丘中学校","神戸市西区桜が丘東町2-11-1","078-994-8822","○","○","－","","135.0608211","34.7487378334742","屋内の緊急避難場所"
"○","○","押部谷小学校","神戸市西区押部谷町福住552-3","078-994-0002","○","○","－","","135.0376092","34.7556728334835","屋内の緊急避難場所"
"○","○","北山小学校","神戸市西区北山台3-26-1","078-994-8020","○","○","－","","135.0313931","34.7627022334929","屋内の緊急避難場所"
"○","○","押部谷中学校","神戸市西区押部谷町押部722","078-994-0013","○","○","－","","135.0443642","34.7573756334858","屋内の緊急避難場所"
"○","○","月が丘小学校","神戸市西区月が丘7-2","078-995-3171","○","○","－","","135.0491254","34.7595488334887","屋内の緊急避難場所"
"○","○","高和小学校","神戸市西区押部谷町高和565","078-994-0004","○","○","－","","135.0128176","34.741123433464","屋内の緊急避難場所"
"○","○","玉津第一小学校","神戸市西区小山1-4-1","078-928-3790","○","△","－","《洪水時》玉津町二ツ屋（櫨谷川以東）からの避難については、河川がはん濫したら、玉津中学校へ避難","134.9877978","34.6847800333884","屋内の緊急避難場所"
"○","○","出合小学校","神戸市西区中野1-22-1","078-928-5516","○","○","－","","134.9726714","34.6774028333784","屋内の緊急避難場所"
"○","○","王塚台中学校","神戸市西区王塚台4-58","078-928-1277","○","○","－","","134.9735438","34.674103293374","屋内の緊急避難場所"
"○","○","枝吉小学校","神戸市西区枝吉2-95","078-928-0880","○","○","－","","134.9778628","34.6647678333614","屋内の緊急避難場所"
"○","○","高津橋小学校","神戸市西区玉津町高津橋640-1","078-917-6501","○","○","－","","134.9949753","34.6702592333688","屋内の緊急避難場所"
"○","○","玉津南公民館","神戸市西区玉津町上池314","078-914-4300","○","〇","－","","134.9908175","34.6602492733553","屋内の緊急避難場所"
"○","○","玉津中学校","神戸市西区玉津町今津364","078-918-2266","○","○","－","","134.9924864","34.6783472333797","屋内の緊急避難場所"
"○","○","神出小学校","神戸市西区神出町田井444","078-965-0006","○","○","－","","134.9877333","34.7473706334724","屋内の緊急避難場所"
"○","○","神出中学校","神戸市西区神出町東1167","078-965-0025","△","○","－","《土砂災害時》山腹崩壊に注意","134.9964433","34.7548142334823","屋内の緊急避難場所"
"○","○","岩岡小学校","神戸市西区岩岡町古郷267","078-967-0013","○","○","－","","134.9442931","34.7182292334333","屋内の緊急避難場所"
"○","○","岩岡中学校","神戸市西区岩岡町古郷249-1","078-967-0016","○","○","－","","134.9433792","34.7162822334307","屋内の緊急避難場所"
